AAA;AA;A;BBB;BB;B;CCC/C;D
91.386;7.947;0.508;0.093;0.062;0.001;0.001;0.001
0.603;90.650;7.936;0.603;0.062;0.114;0.021;0.010
0.052;1.991;91.427;5.858;0.440;0.157;0.031;0.042
0.021;0.171;4.112;89.854;4.561;0.812;0.182;0.288
0.033;0.044;0.276;5.799;83.508;8.114;0.992;1.235
0.001;0.057;0.215;0.351;6.249;82.270;4.766;6.091
0.001;0.001;0.322;0.472;1.426;12.560;54.139;31.079
