T;yield
1;2.211694
2;2.003148
3;1.978672
4;2.022633
5;2.090155
6;2.162949
7;2.233272
8;2.297835
9;2.355345
10;2.405459
11;2.448303
12;2.484234
13;2.513718
14;2.537269
15;2.555407
16;2.568641
17;2.577456
18;2.582308
19;2.583622
20;2.581791
21;2.577174
22;2.5701
23;2.560871
24;2.549759
25;2.537011
26;2.522852
27;2.507482
28;2.491086
29;2.473825
30;2.455847
